Date,YEAR,TIME,INCIDENT #,Officer,Command Review,Stop & Frisk,BEAT,Address,OFFENSE,Arrest,WEAPONS,INVSTATUS,AGE,AGE RANGE,RACE,SEX,NAME CODE,AUTHORITY,Dispatched/Self Initiated,SFTYPE,MONTH
2012-07-23,2012,1706,201204441,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,215 E MAIN ST,Narcotic Investigation,no,No,INAS,22,18 - 24,B,M,IO,Consent,D,STOP WITH SEARCH OR FRISK,NA
2012-07-23,2012,1706,201204441,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,215 E MAIN ST,Narcotic Investigation,no,No,INAS,23,18 - 24,B,M,IO,Consent,D,STOP WITH SEARCH OR FRISK,NA
2012-07-23,2012,1706,201204441,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,215 E MAIN ST,Narcotic Investigation,no,No,INAS,21,18 - 24,B,F,IO,Consent,D,STOP WITH SEARCH OR FRISK,NA
2012-07-26,2012,30,201204502,80,NO ACTION,STOP WITH SEARCH OR FRISK,C16,216 14TH ST NW,DIP,under age possession,No,CBAD,20,18 - 24,W,M,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2012-07-30,2012,2056,201204643,NA,NO ACTION,STOP WITH SEARCH OR FRISK,C13,200 MONTICELLO AVE,Robbery,No,No,INAS,22,18 - 24,B,M,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2012-08-01,2012,1610,201204687,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,123 E MAIN ST,Mo Mohr Transport,No,No,INAS,26,25 - 34,W,M,OF,PD Transport,D,STOP WITH SEARCH OR FRISK,NA
2012-08-04,2012,2317,201204765,87,NO ACTION,STOP WITH SEARCH OR FRISK,C16,1100 GRADY AVE,Traffic Stop,no,No,INAS,20,18 - 24,W,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2012-08-08,2012,13,201204823,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100 E MARKET ST,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,27,25 - 34,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2012-08-08,2012,13,201204823,75,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100 E MARKET ST,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,51,45 - 54,W,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2012-08-10,2012,230,201204855,46,NO ACTION,STOP WITH SEARCH OR FRISK,C01,700 W MAIN ST,Mo Mohr Transport,No,No,INAS,47,45 - 54,B,M,IO,PD Transport,S,STOP WITH SEARCH OR FRISK,NA
2012-08-13,2012,2357,201204899,69,NO ACTION,STOP WITH SEARCH OR FRISK,C01,1114 4TH ST SE,INDECENT EXPOSURE,indecent exposure,No,CBAD,23,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2012-08-16,2012,1540,201204975,319,ACTION,STOP WITH SEARCH OR FRISK,C04,310 W MAIN ST,Mo Mohr Transport,No,NO,INAS,38,35 - 44,W,M,OF,PD Transport,D,STOP WITH SEARCH OR FRISK,NA
2012-08-17,2012,2234,201205007,87,NO ACTION,STOP WITH SEARCH OR FRISK,C01,118 W MAIN ST,Mo Mohr Transport,No,knife,INAS,50,45 - 54,W,M,OF,PD Transport,S,STOP WITH SEARCH OR FRISK,NA
2012-08-19,2012,1659,201205047,87,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100 AVON ST,Narcotic Investigation,NO,No,CBAD,26,25 - 34,B,M,IO,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2012-08-19,2012,1659,201205047,87,NO ACTION,STOP WITH SEARCH OR FRISK,C01,100 AVON ST,Narcotic Investigation,"carrying a concealed weapon, possession with intent to distribute, and contributing to the delinquency of a minor",knife,CBAD,18,18 - 24,W,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2012-08-22,2012,2232,201205124,130,NO ACTION,STOP WITH SEARCH OR FRISK,C10,1200 MONTICELLO RD,Traffic Stop,no,No,INAS,20,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2012-08-23,2012,2009,201205137,319,ACTION,STOP WITH SEARCH OR FRISK,C10,207 RIDGE ST,Trespass,No,No,INAS,27,25 - 34,B,M,OF,Consent,D,STOP WITH SEARCH OR FRISK,NA
2012-08-23,2012,1644,201205134,92,NO ACTION,STOP WITH SEARCH OR FRISK,C01,513 E WATER ST,Mo Mohr Transport,No,No,INAS,47,45 - 54,B,M,IO,PD Transport,D,STOP WITH SEARCH OR FRISK,NA
2012-08-24,2012,2039,201205164,97,NO ACTION,STOP WITH SEARCH OR FRISK,C13,1200 KING ST,Traffic Stop,"Summons Issued for marijuana, Traffic Violations",No,CBAD,33,25 - 34,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
