Date,INCIDENT #,Stop & Frisk,BEAT,OFFENSE,Arrest,RACE,NAME CODE,Dispatched/Self Initiated
1/11/16,201600161,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons Issued for Driving Suspended,B,OF,S
1/14/16,201600229,STOP WITH SEARCH OR FRISK,C10,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D
1/14/16,201600227,STOP WITH SEARCH OR FRISK,C06,Narcotics Investigation,Summons for Expired Registration,W,OF,S
1/17/16,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D
1/17/16,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D
1/17/16,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,B,OF,D
1/17/16,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D
1/18/16,201600285,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons for Driving Suspended,B,OF,S
1/21/16,201600347,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons for Speeding,B,OF,S
1/26/16,201600438,STOP WITH SEARCH OR FRISK,C04,Narcotics Investigation,No,B,IO,S
1/27/16,201600459,STOP WITH SEARCH OR FRISK,C20,Suspicious Circumstance,No,W,OF,D
1/30/16,201600539,STOP WITH SEARCH OR FRISK,C02,Disorder,No,B,IO,D
2/20/16,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,No,B,IO,S
2/20/16,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,No,W,IO,S
2/20/16,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,Summons for Driving Suspended,B,OF,S
2/20/16,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,No,B,OF,S
2/20/16,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,Summons for Driving w/o Headlights,W,OF,S
2/20/16,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S
2/22/16,201600902,STOP WITH SEARCH OR FRISK,C01,Weapon Law Offense,Concealed Weapon w/o Permit,B,OF,D
3/9/16,201601224,STOP WITH SEARCH OR FRISK,C13,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S
3/11/16,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D
3/11/16,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D
3/11/16,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D
3/11/16,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D
3/11/16,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D
3/17/16,201601352,STOP WITH SEARCH OR FRISK,C17,Shots Fired,No,B,IO,D
3/18/16,201601393,STOP WITH SEARCH OR FRISK,C13,Narcotics Investigation,No,B,OF,S
3/19/16,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,W,IO,S
3/19/16,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,B,OF,D
3/19/16,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,B,OF,D
3/25/16,201601542,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,No,B,OF,D
3/26/16,201601549,STOP WITH SEARCH OR FRISK,C10,Narcotics Investigation,No,B,OF,S
4/8/16,201601794,STOP WITH SEARCH OR FRISK,C27,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S
4/9/16,201601825,STOP WITH SEARCH OR FRISK,C32,Narcotics Investigation,Warning Issued for Traffic Violation,B,IO,S
5/1/16,201602299,STOP WITH SEARCH OR FRISK,C02,Disorder,No,B,OF,D
5/7/16,201602425,STOP WITH SEARCH OR FRISK,C24,Traffic Stop,No,B,IO,S
5/18/16,201602661,STOP WITH SEARCH OR FRISK,C07,Narcotics Investigation,Summons for driving revoked,W,OF,S
5/18/16,201602661,STOP WITH SEARCH OR FRISK,C07,Narcotics Investigation,Summons for Underage Possession of Alcohol,W,OF,S
5/22/16,201602738,STOP WITH SEARCH OR FRISK,C16,Narcotics Investigation,No,B,IO,S
5/22/16,201602738,STOP WITH SEARCH OR FRISK,C16,Narcotics Investigation,Summons for Equipment Violation,B,OF,S
5/26/16,201602855,STOP WITH SEARCH OR FRISK,C02,Narcotics Investigation,Possess Marijuana w/ Intent to Distribute,B,OF,S
6/1/16,201602985,STOP WITH SEARCH OR FRISK,C01,Larceny,No,B,IO,D
6/9/16,201603130,STOP WITH SEARCH OR FRISK,C11,Suspicious Circumstance,No,B,IO,S
6/9/16,201603150,STOP WITH SEARCH OR FRISK,C16,Trespass,No,B,OF,D
6/11/16,201603200,STOP WITH SEARCH OR FRISK,C01,Assault - Intimidation,No,B,OF,D
6/17/16,201603306,STOP WITH SEARCH OR FRISK,C12,Shots Fired,No,B,IO,D
6/17/16,201603306,STOP WITH SEARCH OR FRISK,C12,Shots Fired,No,B,IO,D
6/18/16,201603337,STOP WITH SEARCH OR FRISK,C15,Suspicious,No,W,OF,S
6/26/16,201630653,STOP WITH SEARCH OR FRISK,C15,Narcotics Investigation,No,W,OF,D
7/12/16,201632830,STOP WITH SEARCH OR FRISK,C16,Suspicious Circumstance,No,B,OF,D
7/19/16,201633606,STOP WITH SEARCH OR FRISK,C28,Narcotics Investigation,No,B,IO,S
7/19/16,201633606,STOP WITH SEARCH OR FRISK,C28,Narcotics Investigation,Summons for Possession of Marijuana,B,OF,S
7/20/16,201633751,STOP WITH SEARCH OR FRISK,C04,Warrant Service,Warrants Served,B,OF,D
7/20/16,201633743,STOP WITH SEARCH OR FRISK,C03,Weapon Law Offense,No,B,OF,D
7/20/16,201633743,STOP WITH SEARCH OR FRISK,C03,Weapon Law Offense,No,B,OF,D
7/26/16,201634486,STOP WITH SEARCH OR FRISK,C20,Assault - Simple,No,B,OF,D
8/11/16,201636318,STOP WITH SEARCH OR FRISK,C20,Shots Fired,No,B,IO,D
9/2/16,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S
9/2/16,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Arrested for Possession of Cocaine,B,OF,S
9/2/16,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Arrested for Possession of Cocaine,B,OF,S
